type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,a,sort_network,9,6,3,5002047,687,5.666,5.727,5.760,5.763,3.02
i64,a,std::sort,9,6,3,5002047,687,25.645,26.007,26.493,26.103,1.75
i64,b,extend_sorted,9,6,3,5002047,687,16.022,16.399,16.813,16.456,1.70
i64,b,merge_sorted,9,6,3,5002047,687,20.532,20.888,21.348,20.969,1.66
i64,b,merge_branchless,9,6,3,5002047,687,25.001,25.317,25.831,25.398,1.21
i64,b,sort_network,9,6,3,5002047,687,5.679,5.741,5.774,5.777,4.17
i64,b,std::inplace_merge,9,6,3,5002047,687,29.116,29.594,31.238,29.950,3.12
i64,b,std::merge,9,6,3,5002047,687,19.785,20.349,20.796,20.418,1.93
i64,a,extend_sorted,9,5,4,5002047,687,25.481,26.196,26.725,26.260,1.45
i64,a,extend_scan,9,5,4,5002047,687,36.404,36.758,37.295,36.915,3.22
i64,a,extend_bsearch,9,5,4,5002047,687,49.604,50.262,50.857,50.366,1.40
i64,a,sort_network,9,5,4,5002047,687,5.690,5.723,5.764,5.768,3.89
i64,a,std::sort,9,5,4,5002047,687,31.816,32.231,32.755,32.333,1.99
i64,b,extend_sorted,9,5,4,5002047,687,17.947,18.385,18.767,18.439,1.40
i64,b,merge_sorted,9,5,4,5002047,687,25.519,26.091,26.607,26.171,1.52
i64,b,merge_branchless,9,5,4,5002047,687,28.273,28.604,29.068,28.697,1.06
i64,b,sort_network,9,5,4,5002047,687,5.692,5.716,5.771,5.748,1.93
i64,b,std::inplace_merge,9,5,4,5002047,687,32.949,33.533,35.067,33.810,2.54
i64,b,std::merge,9,5,4,5002047,687,23.060,23.768,24.222,23.790,1.63
i64,a,extend_sorted,9,3,6,5002047,687,37.651,38.971,39.584,39.013,1.19
i64,a,extend_scan,9,3,6,5002047,687,52.616,53.258,53.817,53.308,0.92
i64,a,extend_bsearch,9,3,6,5002047,687,70.056,70.882,71.481,70.927,0.69
i64,a,sort_network,9,3,6,5002047,687,5.690,5.721,5.762,5.748,2.09
i64,a,std::sort,9,3,6,5002047,687,43.711,44.278,44.815,44.357,1.10
