type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
pair64,random_uniform,0.50,1048576,rev_part_until,1.2901,0.389,6.6283,6.6283
pair64,random_uniform,0.50,4194304,ref,5.9504,0.500,23.8016,23.8016
pair64,random_uniform,0.50,4194304,count_select,3.0972,0.500,12.3887,12.3887
pair64,random_uniform,0.50,4194304,fwd_key_select,2.3905,0.500,9.5622,9.5622
pair64,random_uniform,0.50,4194304,key_select,1.7279,0.500,6.9116,6.9116
pair64,random_uniform,0.50,4194304,rev_count_select,3.0039,0.500,12.0154,12.0154
pair64,random_uniform,0.50,4194304,key_one_part,2.0128,0.710,5.6663,13.9021
pair64,random_uniform,0.50,4194304,fwd_sample,1.4063,0.486,5.7816,5.7816
pair64,random_uniform,0.50,4194304,sample,0.9680,0.486,3.9795,3.9795
pair64,random_uniform,0.50,4194304,part_until,2.2119,0.611,7.2354,11.3847
pair64,random_uniform,0.50,4194304,rev_part_until,1.6460,0.785,4.1953,15.2901
pair64,random_uniform,0.90,65536,ref,7.0436,0.500,15.6526,15.6526
pair64,random_uniform,0.90,65536,count_select,2.3139,0.500,5.1421,5.1421
pair64,random_uniform,0.90,65536,fwd_key_select,2.5729,0.500,5.7176,5.7176
pair64,random_uniform,0.90,65536,key_select,2.7392,0.500,6.0872,6.0872
pair64,random_uniform,0.90,65536,rev_count_select,2.5312,0.500,5.6250,5.6250
pair64,random_uniform,0.90,65536,key_one_part,1.6647,0.486,3.8076,3.8076
pair64,random_uniform,0.90,65536,fwd_sample,1.0511,0.507,2.3056,2.3666
pair64,random_uniform,0.90,65536,sample,0.8452,0.507,1.8541,1.9031
pair64,random_uniform,0.90,65536,part_until,0.9887,0.688,1.5956,3.5263
pair64,random_uniform,0.90,65536,rev_part_until,0.7981,0.688,1.2880,2.8465
pair64,random_uniform,0.90,262144,ref,6.8722,0.500,15.2717,15.2717
pair64,random_uniform,0.90,262144,count_select,2.6744,0.500,5.9431,5.9431
pair64,random_uniform,0.90,262144,fwd_key_select,3.1110,0.500,6.9133,6.9133
pair64,random_uniform,0.90,262144,key_select,2.0069,0.500,4.4599,4.4599
pair64,random_uniform,0.90,262144,rev_count_select,2.0565,0.500,4.5700,4.5700
pair64,random_uniform,0.90,262144,key_one_part,1.5522,0.810,2.1289,9.0844
